timestamp,engine_load,coolant_temp,fuel_pressure,intake_manifold_p,rpm,speed,timing_advance,intake_air_temp,air_flow_rate,throttle_pos,engine_run_time,fuel_level,warmups_since_clear,barometric_p,ambient_air_temp,cmd_throttle_act,time_with_mil_on,time_since_codes,hybrid_batt_life,fuel_rate,fault_code,verdict
2025-05-26T15:34:14.167550,75.72,97.36,36.79,35.09,1656,38.55,10.46,37.15,73.69,18.74,15392,1.82,43,91.21,27.26,15.21,378,256736,99.2,12.61,fuel_low,fault
2025-05-26T15:34:14.167560,30.33,86.41,57.5,83.56,6551,84.45,20.81,45.99,157.9,39.9,14341,42.97,11,101.08,22.84,39.55,4566,261303,95.87,3.31,rpm_spike,fault
2025-05-26T15:34:14.167569,62.89,69.18,58.77,60.29,1323,34.04,19.92,34.18,180.47,26.02,31108,89.69,28,62.09,4.89,27.4,6273,546622,74.23,5.55,barometric_low,fault
2025-05-26T15:34:14.167579,36.19,102.76,57.76,72.39,2358,57.15,-3.07,29.27,4.77,29.38,27248,18.15,3,89.14,11.81,33.43,4784,20480,92.84,15.55,air_flow_low,fault
2025-05-26T15:34:14.167589,57.68,92.03,59.39,77.99,3130,77.17,21.93,32.09,61.86,46.42,31827,84.39,1,92.78,21.75,49.4,5932,173061,92.03,36.02,fuel_rate_high,fault
2025-05-26T15:34:14.167598,80.68,87.61,37.27,45.61,3393,86.46,4.82,54.48,74.13,34.91,24846,45.72,17,100.04,28.28,32.43,670,493152,50.97,11.25,intake_temp_high,fault
2025-05-26T15:34:14.167608,78.75,105.49,54.85,44.31,4325,103.53,9.21,19.0,190.07,0.0,30476,28.49,44,90.12,9.76,0.0,6127,120096,88.89,4.11,throttle_stuck,fault
2025-05-26T15:34:14.167617,85.9,84.09,37.93,65.53,880,22.78,19.92,51.38,142.47,19.55,19764,40.65,43,97.01,-0.16,24.39,6411,43064,67.36,9.14,intake_temp_high,fault
2025-05-26T15:34:14.167626,45.35,93.72,65.66,57.58,2423,59.78,-0.41,21.16,109.13,29.7,17700,1.12,39,101.16,16.53,29.53,3568,281433,66.12,5.66,fuel_low,fault
2025-05-26T15:34:14.167636,54.6,100.07,43.0,59.25,1230,31.45,5.64,24.04,63.14,19.09,18105,36.96,35,77.44,32.92,14.95,5898,426170,74.43,15.41,barometric_low,fault
2025-05-26T15:34:14.167646,41.43,96.02,53.26,58.4,5992,23.0,10.93,29.89,151.73,5.93,21678,70.72,22,99.06,5.84,3.44,988,201939,65.78,15.11,rpm_spike,fault
2025-05-26T15:34:14.167656,39.81,106.25,34.02,41.65,2692,69.57,1.82,21.28,12.69,44.32,35005,3.49,8,90.49,33.97,44.85,5713,132413,81.89,15.3,fuel_low,fault
2025-05-26T15:34:14.167665,85.87,89.95,49.11,79.33,1695,41.78,7.02,17.59,129.59,14.58,3513,9.88,9,87.98,17.51,12.62,2033,124205,77.9,43.72,fuel_rate_high,fault
2025-05-26T15:34:14.167674,89.3,107.02,42.22,67.26,2648,65.71,13.29,40.9,190.04,31.71,13617,86.72,40,78.61,21.42,28.28,1423,578805,53.75,1.05,barometric_low,fault
2025-05-26T15:34:14.167683,24.98,95.48,39.34,45.87,2297,55.32,18.74,35.64,162.74,100.0,12964,86.66,27,87.3,3.99,100.0,2176,149145,53.57,4.15,throttle_stuck,fault
2025-05-26T15:34:14.167693,57.8,99.2,47.51,65.88,1665,39.67,21.68,40.71,124.71,0.0,1695,30.86,5,89.58,21.97,0.0,4809,21753,99.98,13.77,throttle_stuck,fault
2025-05-26T15:34:14.167702,89.79,88.81,47.44,78.85,2540,63.71,24.07,31.45,87.59,30.7,21040,31.42,42,87.09,35.55,29.82,4058,302218,83.13,8.61,ambient_high,fault
2025-05-26T15:34:14.167711,77.74,99.01,30.05,82.16,3019,71.64,8.86,16.9,108.5,41.27,32669,0.12,40,93.84,-2.94,38.94,1073,302020,71.91,14.27,fuel_low,fault
2025-05-26T15:34:14.167721,48.56,81.93,38.99,80.48,1518,40.06,-1.6,48.15,133.06,16.25,10090,6.3,31,103.65,37.17,18.3,3403,505937,99.01,5.63,ambient_high,fault
2025-05-26T15:34:14.167730,74.09,107.59,64.18,50.39,2894,74.82,18.63,24.35,10.49,30.14,19566,11.63,37,96.6,40.66,33.8,3658,564742,74.22,7.32,ambient_high,fault
2025-05-26T15:34:14.167739,79.92,86.73,46.43,49.09,3973,104.14,9.19,46.97,82.43,46.84,9968,41.38,31,104.3,48.66,51.5,2719,105239,93.71,9.37,ambient_high,fault
2025-05-26T15:34:14.167751,74.71,95.54,40.6,67.4,2944,77.32,6.92,17.81,72.43,0.0,34971,12.11,24,104.08,20.07,0.0,3997,567296,51.79,2.3,throttle_stuck,fault
2025-05-26T15:34:14.167761,51.06,84.33,57.76,84.21,2482,58.05,-3.62,42.87,6.2,31.7,24565,87.9,27,87.91,16.25,32.36,6492,188803,58.5,2.5,air_flow_low,fault
2025-05-26T15:34:14.167770,37.87,117.05,30.38,78.28,2601,61.48,22.04,38.72,8.53,29.96,28949,29.13,22,104.75,6.97,34.58,5655,262246,72.84,6.74,air_flow_low,fault
2025-05-26T15:34:14.167779,21.54,101.09,63.2,53.75,3114,159.15,-4.76,45.28,157.88,34.14,3214,71.43,38,99.9,28.31,38.17,6354,241296,80.35,7.69,speed_high,fault
2025-05-26T15:34:14.167790,83.24,80.64,55.85,48.54,1939,50.08,8.22,35.29,149.15,31.81,5906,64.68,18,91.53,48.7,28.82,6443,565610,93.82,7.95,ambient_high,fault
2025-05-26T15:34:14.167800,72.26,88.26,43.55,36.91,2798,73.21,23.89,19.93,193.64,100.0,26044,81.62,35,92.32,26.63,100.0,4395,129592,72.74,13.78,throttle_stuck,fault
2025-05-26T15:34:14.167810,81.9,73.67,52.46,84.92,3334,79.45,1.64,17.21,166.53,34.4,19804,7.38,41,93.17,37.03,38.86,2493,516554,55.81,5.46,ambient_high,fault
2025-05-26T15:34:14.167819,71.96,99.28,36.18,54.89,1358,36.39,-2.03,32.13,87.54,27.11,18333,44.82,2,98.81,48.53,26.56,1934,380303,54.97,14.03,ambient_high,fault
2025-05-26T15:34:14.167828,77.69,92.21,33.67,42.73,2326,143.07,14.18,48.99,19.61,37.32,21856,95.16,15,104.78,26.48,34.38,6797,581128,60.36,5.1,speed_high,fault
2025-05-26T15:34:14.167838,29.1,112.19,40.03,40.47,3531,83.32,14.83,15.9,12.82,48.83,15593,18.75,37,72.1,1.97,44.35,6076,441409,76.3,15.17,barometric_low,fault
2025-05-26T15:34:14.167847,70.91,105.23,66.35,69.53,5734,44.65,4.05,37.52,15.92,16.75,31390,63.44,25,93.53,-0.68,18.88,3633,77060,94.96,7.12,rpm_spike,fault
2025-05-26T15:34:14.167857,61.82,104.97,41.8,60.33,3285,82.99,7.91,42.76,3.13,45.74,14091,41.19,27,94.03,4.14,44.13,3715,418098,70.8,2.81,air_flow_low,fault
2025-05-26T15:34:14.167866,25.98,119.77,47.28,74.68,2439,62.85,6.18,19.55,21.4,100.0,21603,13.67,42,87.44,9.14,100.0,6146,443481,93.4,14.7,throttle_stuck,fault
2025-05-26T15:34:14.167876,27.58,105.55,63.81,52.05,1873,43.97,17.88,57.02,163.37,25.12,1720,26.3,38,103.58,28.18,22.79,1477,286544,85.13,6.87,intake_temp_high,fault
2025-05-26T15:34:14.167885,88.03,100.05,33.67,61.83,2685,68.72,6.29,30.88,39.91,25.75,20423,1.09,46,91.49,32.66,26.71,430,163137,57.87,12.74,fuel_low,fault
2025-05-26T15:34:14.167894,27.97,85.19,47.2,46.99,2015,49.8,15.35,32.03,136.76,100.0,2976,76.72,14,92.91,18.97,100.0,2469,221494,88.37,15.52,throttle_stuck,fault
2025-05-26T15:34:14.167904,36.11,103.03,52.35,70.08,3184,78.91,5.63,28.9,150.99,0.0,28588,55.6,1,94.2,-1.89,0.0,3516,601253,70.22,13.16,throttle_stuck,fault
2025-05-26T15:34:14.167913,68.27,109.63,44.47,56.2,777,16.16,-1.82,30.25,86.09,17.03,5154,48.71,25,102.41,42.65,14.25,6382,176299,53.82,13.03,ambient_high,fault
2025-05-26T15:34:14.167922,36.54,89.83,35.86,41.84,3115,80.17,13.07,41.61,134.55,46.46,11609,82.43,49,97.56,13.56,47.1,4747,470711,84.06,29.7,fuel_rate_high,fault
2025-05-26T15:34:14.167931,75.74,128.99,53.66,51.12,3185,79.04,-2.77,31.16,17.15,38.9,24165,64.98,18,86.53,29.57,42.45,5038,531699,69.22,12.03,coolant_overheat,fault
2025-05-26T15:34:14.167941,24.33,81.49,34.14,83.95,2926,71.38,5.3,40.0,4.09,35.2,11308,19.33,2,89.95,12.51,34.6,4282,166457,68.19,18.44,air_flow_low,fault
2025-05-26T15:34:14.167956,26.62,106.47,57.14,47.05,1930,51.16,16.71,37.98,182.21,28.53,9854,1.24,21,86.63,21.54,32.69,2541,410997,56.45,14.47,fuel_low,fault
2025-05-26T15:34:14.167965,71.71,107.39,57.42,61.58,1487,40.32,14.38,29.82,78.75,23.56,23763,1.18,19,88.61,3.57,28.04,3983,201332,61.33,3.61,fuel_low,fault
2025-05-26T15:34:14.167974,66.34,83.43,65.06,67.08,2725,68.55,12.92,20.4,44.36,39.05,10848,55.02,46,66.32,11.43,40.81,1945,465776,80.53,15.3,barometric_low,fault
2025-05-26T15:34:14.167983,67.48,120.9,52.82,56.44,2641,68.87,18.08,42.23,105.55,42.52,27437,23.43,10,101.34,49.01,38.9,2048,54714,82.06,17.61,ambient_high,fault
2025-05-26T15:34:14.167993,51.45,83.31,50.53,79.86,2268,52.96,-2.25,46.87,165.17,18.16,22910,3.36,1,93.3,10.86,16.9,3163,85569,68.75,1.54,fuel_low,fault
2025-05-26T15:34:14.168002,68.73,80.68,35.55,72.33,1667,38.06,8.46,15.18,25.05,0.0,16772,83.83,13,101.7,16.95,0.0,4323,443814,55.56,6.47,throttle_stuck,fault
2025-05-26T15:34:14.168011,83.36,98.08,53.87,30.99,3297,85.38,10.46,23.47,37.28,41.83,28130,15.53,0,97.3,43.16,41.0,5442,89772,76.17,7.85,ambient_high,fault
2025-05-26T15:34:14.168020,47.08,83.41,44.93,74.84,2715,63.1,5.71,17.36,55.81,39.02,6793,9.14,49,86.48,25.27,35.35,2886,572536,66.93,13.21,barometric_low,fault
2025-05-26T15:34:14.168030,22.59,95.85,38.06,77.47,1997,46.28,21.57,55.46,68.91,27.46,26098,94.64,34,94.47,-3.54,28.93,2343,374314,93.11,1.91,intake_temp_high,fault
2025-05-26T15:34:14.168039,43.73,84.79,37.47,71.52,2761,68.04,6.02,63.22,60.68,32.81,5414,95.87,46,93.49,12.22,37.77,1478,571971,64.69,2.95,intake_temp_high,fault
2025-05-26T15:34:14.168050,22.96,107.74,64.8,51.15,2122,52.32,24.94,24.61,196.21,29.95,3759,38.4,4,98.42,11.25,30.08,6143,167758,97.64,40.34,fuel_rate_high,fault
2025-05-26T15:34:14.168059,86.46,96.97,31.3,39.21,6622,50.24,8.5,27.98,94.35,28.03,5038,39.4,36,87.75,9.68,26.17,2283,261736,98.03,1.49,rpm_spike,fault
2025-05-26T15:34:14.168068,35.02,92.54,54.48,71.64,740,14.7,24.96,22.01,35.79,12.85,4853,71.88,28,88.45,43.13,17.82,6639,335112,83.39,14.48,ambient_high,fault
2025-05-26T15:34:14.168078,75.56,82.68,50.35,37.28,3711,94.91,1.03,19.86,160.17,100.0,1722,65.58,23,96.08,9.76,100.0,4519,136074,80.6,2.64,throttle_stuck,fault
2025-05-26T15:34:14.168087,25.16,94.96,68.9,68.54,6260,94.62,8.5,38.8,75.46,52.69,11925,83.22,49,104.33,12.3,56.8,453,130192,75.91,6.78,rpm_spike,fault
2025-05-26T15:34:14.168097,25.52,121.62,37.85,87.38,3024,80.09,3.23,36.88,126.74,40.42,6122,31.98,32,97.82,18.67,41.23,1402,354019,92.13,11.71,coolant_overheat,fault
2025-05-26T15:34:14.168109,63.27,89.55,31.21,83.34,3802,92.71,11.37,62.13,67.4,40.57,16048,59.35,43,93.12,13.14,42.46,1294,460959,70.78,9.82,intake_temp_high,fault
2025-05-26T15:34:14.168118,29.15,109.7,44.82,63.7,6270,52.64,4.57,31.33,60.82,33.54,16247,97.66,9,86.94,6.61,32.38,5041,438446,62.41,17.44,rpm_spike,fault
2025-05-26T15:34:14.168127,52.68,88.54,65.16,59.84,3669,88.63,-2.3,28.76,96.87,37.5,15776,1.72,13,96.67,-3.05,35.32,4894,493446,64.29,1.16,fuel_low,fault
2025-05-26T15:34:14.168137,59.92,84.14,37.79,63.19,3453,88.99,-2.79,65.1,155.24,41.81,18331,43.06,39,98.61,-0.25,46.56,3226,391326,89.74,7.44,intake_temp_high,fault
2025-05-26T15:34:14.168151,43.31,106.32,48.95,57.42,2800,70.01,13.19,33.04,72.31,25.91,20875,18.02,10,79.14,19.66,29.34,4863,352713,75.37,10.68,barometric_low,fault
2025-05-26T15:34:14.168160,60.86,131.45,61.87,73.52,2047,49.86,15.64,15.93,100.17,28.41,14912,98.09,46,86.03,14.22,28.65,5907,398658,57.39,13.93,coolant_overheat,fault
2025-05-26T15:34:14.168169,34.27,88.81,50.07,66.69,2340,57.93,9.15,44.69,148.21,27.34,9049,44.23,33,89.15,40.13,28.96,4304,395129,65.69,4.29,ambient_high,fault
2025-05-26T15:34:14.168180,62.71,108.63,37.69,44.79,1661,43.75,11.74,22.87,194.85,100.0,19504,70.86,49,90.78,3.29,100.0,2597,503110,67.44,18.74,throttle_stuck,fault
2025-05-26T15:34:14.168189,86.82,105.41,62.18,47.43,5823,82.96,3.63,39.99,75.81,51.08,28991,82.75,41,90.13,14.16,48.1,4412,284303,96.65,14.23,rpm_spike,fault
2025-05-26T15:34:14.168198,64.66,86.16,32.1,54.8,1705,40.05,16.52,18.52,156.45,100.0,339,55.45,35,104.56,1.32,100.0,7195,498807,73.87,4.79,throttle_stuck,fault
2025-05-26T15:34:14.168207,71.71,98.41,64.01,32.24,2438,63.65,22.64,29.63,169.14,34.87,2381,27.06,25,100.76,2.45,37.36,7145,303528,93.84,38.08,fuel_rate_high,fault
2025-05-26T15:34:14.168217,82.25,91.07,35.37,60.25,6851,78.32,3.19,43.31,72.83,41.98,30075,54.81,41,90.15,2.45,44.35,6477,309355,78.39,15.39,rpm_spike,fault
2025-05-26T15:34:14.168226,66.85,78.25,37.39,38.44,3555,128.42,4.71,23.68,59.55,46.38,15435,13.24,28,100.08,33.16,44.4,5921,600705,50.57,13.42,speed_high,fault
2025-05-26T15:34:14.168236,69.25,100.79,42.44,37.04,3004,74.17,22.48,25.33,126.78,37.13,14360,90.04,8,94.56,47.03,42.02,3060,436045,85.1,18.34,ambient_high,fault
2025-05-26T15:34:14.168245,56.79,79.94,51.13,51.71,3119,79.8,22.52,18.93,167.47,41.82,33127,79.8,12,96.45,0.99,40.1,4262,463303,55.81,34.66,fuel_rate_high,fault
2025-05-26T15:34:14.168254,59.47,88.56,52.35,70.37,3199,75.54,4.25,15.76,58.35,30.41,197,3.94,47,89.36,-2.08,29.64,5737,66857,77.06,2.14,fuel_low,fault
2025-05-26T15:34:14.168263,71.05,96.44,68.55,52.47,1851,43.1,21.74,30.7,5.29,14.26,24739,65.94,24,86.6,33.57,18.0,1089,364663,55.93,19.86,air_flow_low,fault
2025-05-26T15:34:14.168273,67.14,124.81,51.78,61.92,2421,55.57,19.7,23.66,75.77,18.24,18064,33.34,12,103.75,24.0,14.37,6631,439605,80.75,18.79,coolant_overheat,fault
2025-05-26T15:34:14.168282,37.13,100.51,31.77,56.34,3479,86.45,11.19,54.74,157.45,46.67,9183,87.86,32,104.87,4.37,50.83,4719,334394,78.87,15.68,intake_temp_high,fault
2025-05-26T15:34:14.168291,58.97,74.55,53.67,74.11,6701,104.25,0.25,38.76,115.61,50.4,3072,31.14,22,103.83,21.85,53.26,2611,436548,70.41,6.7,rpm_spike,fault
2025-05-26T15:34:14.168300,84.03,98.22,52.5,88.07,964,22.13,11.72,19.69,56.14,100.0,13325,81.55,21,97.93,31.89,100.0,757,561654,86.23,4.62,throttle_stuck,fault
2025-05-26T15:34:14.168316,70.7,82.94,52.35,58.76,1998,146.81,21.08,26.65,191.83,20.61,1004,77.36,13,103.74,33.48,16.78,6179,502184,95.72,14.22,speed_high,fault
2025-05-26T15:34:14.168326,41.59,103.79,44.39,82.97,2547,61.51,8.98,43.1,147.26,30.08,20986,66.63,13,92.41,11.56,30.71,1812,153011,50.81,37.37,fuel_rate_high,fault
2025-05-26T15:34:14.168335,54.95,97.85,56.18,71.09,2100,50.81,2.72,43.76,193.64,23.0,32151,84.17,29,88.36,49.85,19.69,5900,573095,74.42,18.42,ambient_high,fault
2025-05-26T15:34:14.168346,23.4,91.77,30.26,38.25,3439,89.38,13.92,17.38,38.7,36.18,14334,82.71,32,94.12,43.27,37.56,5050,506676,82.96,1.3,ambient_high,fault
2025-05-26T15:34:14.168355,76.92,95.91,56.96,78.37,3479,84.74,22.29,18.75,28.3,51.92,9758,6.63,15,75.26,16.06,55.07,2189,416176,53.95,19.23,barometric_low,fault
2025-05-26T15:34:14.168365,80.08,94.56,60.38,35.61,3071,78.62,6.38,34.34,20.66,46.27,619,3.58,44,88.43,14.99,45.61,6425,347362,78.29,17.3,fuel_low,fault
2025-05-26T15:34:14.168374,38.98,91.49,66.97,71.07,3005,79.14,3.41,34.01,135.04,43.42,11754,58.84,20,85.31,3.29,39.86,6723,417643,96.44,27.21,fuel_rate_high,fault
2025-05-26T15:34:14.168384,29.8,86.44,69.54,73.45,2902,76.54,10.02,49.1,20.2,100.0,28645,76.78,14,101.77,8.62,100.0,4879,415973,98.45,7.2,throttle_stuck,fault
2025-05-26T15:34:14.168393,66.25,95.55,33.43,67.12,1751,48.19,18.94,39.96,25.59,100.0,10107,69.57,24,99.23,20.36,100.0,2594,378221,55.33,1.1,throttle_stuck,fault
2025-05-26T15:34:14.168402,58.83,101.11,46.32,31.58,2095,48.72,5.62,18.26,123.63,18.11,21261,47.64,24,85.25,11.55,20.9,5937,586716,95.26,35.63,fuel_rate_high,fault
2025-05-26T15:34:14.168411,31.7,89.4,41.04,47.99,2307,55.37,18.48,58.8,189.4,23.05,32492,18.86,38,97.33,13.31,19.41,55,414913,66.61,12.78,intake_temp_high,fault
2025-05-26T15:34:14.168421,62.22,102.87,57.81,58.74,1149,157.57,0.33,28.94,70.64,17.01,32178,33.54,36,100.64,8.04,14.81,6437,412022,68.25,18.71,speed_high,fault
2025-05-26T15:34:14.168430,69.59,90.72,47.54,47.48,1338,33.97,15.79,43.66,161.17,26.05,26813,1.8,43,94.99,20.33,23.47,5395,161630,85.76,15.99,fuel_low,fault
2025-05-26T15:34:14.168439,49.28,87.37,31.47,88.11,1636,41.27,16.05,43.43,9.67,29.1,5569,87.62,6,100.38,21.3,27.65,5300,46448,78.16,13.26,air_flow_low,fault
2025-05-26T15:34:14.168448,72.28,110.54,52.32,71.26,6313,41.06,1.63,28.09,97.98,12.5,32798,26.09,9,91.9,-4.02,8.55,3407,90025,55.8,18.87,rpm_spike,fault
2025-05-26T15:34:14.168458,50.67,105.2,57.87,49.13,2165,51.21,4.01,61.2,31.87,25.26,22483,50.24,41,87.19,27.0,29.56,6066,255761,75.8,11.49,intake_temp_high,fault
2025-05-26T15:34:14.168467,50.25,93.13,31.17,66.85,3061,75.59,0.92,56.52,83.88,31.48,14076,65.85,13,90.57,23.15,34.44,4729,106694,89.98,11.2,intake_temp_high,fault
2025-05-26T15:34:14.168476,61.79,97.06,54.45,65.22,6646,51.08,5.44,44.59,127.3,26.09,19493,65.72,39,96.8,21.88,24.22,1954,320214,55.85,8.09,rpm_spike,fault
2025-05-26T15:34:14.168486,57.62,103.69,66.77,85.84,1676,42.66,0.2,20.84,64.88,19.79,12261,51.23,20,101.84,42.58,23.44,78,508149,56.83,16.49,ambient_high,fault
2025-05-26T15:34:14.168495,25.79,95.48,31.23,75.66,1285,31.28,3.76,24.62,112.15,22.44,11023,51.43,49,94.15,47.35,25.1,4503,535618,55.66,3.17,ambient_high,fault
2025-05-26T15:34:14.168504,89.28,108.81,34.1,79.8,1503,32.99,17.54,67.22,199.87,20.88,29473,56.9,16,91.97,27.67,20.27,961,248455,60.49,15.01,intake_temp_high,fault
2025-05-26T15:34:14.168514,76.38,88.25,52.8,61.94,1849,47.39,12.91,20.89,9.19,29.39,19178,82.29,18,96.45,33.1,29.54,5564,99850,56.78,15.25,air_flow_low,fault
2025-05-26T15:34:14.168523,69.8,94.05,63.14,75.69,4105,98.9,15.29,59.09,119.71,56.77,17610,28.72,40,93.28,13.08,58.11,6298,97616,70.14,15.25,intake_temp_high,fault
2025-05-26T15:34:14.168533,88.05,95.99,55.39,71.84,1446,39.85,20.5,67.88,85.57,26.87,28157,13.85,13,94.89,7.91,24.7,4483,136937,78.31,10.22,intake_temp_high,fault
2025-05-26T15:34:14.168542,85.06,91.94,36.32,57.39,5706,64.23,24.76,29.97,199.18,38.85,8645,6.55,41,91.04,29.98,42.62,764,377943,62.52,8.07,rpm_spike,fault
2025-05-26T15:34:14.168558,69.26,100.18,30.04,58.61,1956,50.91,-1.02,22.92,139.2,20.14,608,2.92,0,98.91,27.68,25.02,3459,138595,73.89,5.35,fuel_low,fault
2025-05-26T15:34:14.168567,72.72,100.2,35.33,89.58,3054,80.18,-0.71,33.57,11.61,32.83,10755,0.56,28,92.02,3.52,35.32,3372,463873,93.0,2.65,fuel_low,fault
2025-05-26T15:34:14.168577,37.35,106.31,55.78,44.89,3425,152.22,13.03,40.24,64.13,40.67,1757,80.15,42,102.52,3.22,41.74,1545,410780,64.78,2.04,speed_high,fault
2025-05-26T15:34:14.168588,89.08,138.97,67.36,37.92,3214,81.31,20.82,34.89,79.43,41.22,11322,97.88,48,94.42,34.49,36.95,4811,70813,50.69,5.1,coolant_overheat,fault
2025-05-26T15:34:14.168597,48.16,99.91,55.62,62.26,1973,128.18,-0.42,17.93,25.01,31.07,13316,45.24,9,95.73,10.63,32.41,6836,69326,65.51,9.31,speed_high,fault
2025-05-26T15:34:14.168607,71.92,100.51,59.63,37.17,3231,80.33,16.24,39.55,41.13,42.34,22721,3.09,33,95.34,27.9,39.93,3046,133096,87.49,17.6,fuel_low,fault
2025-05-26T15:34:14.168616,60.37,137.17,33.08,57.31,3926,95.89,5.8,32.49,117.71,39.22,24096,72.67,10,90.1,-0.88,39.96,5921,120936,61.42,10.67,coolant_overheat,fault
2025-05-26T15:34:14.168625,87.22,123.59,31.41,78.19,2744,67.26,16.42,37.95,52.66,42.03,16270,22.0,26,103.32,7.8,45.29,4682,390917,55.97,13.79,coolant_overheat,fault
2025-05-26T15:34:14.168634,39.76,68.4,63.79,49.64,3256,133.28,11.59,15.28,48.13,34.35,19917,49.18,47,97.45,13.56,35.27,4041,204915,86.62,11.38,speed_high,fault
2025-05-26T15:34:14.168644,20.67,94.09,43.4,75.54,2660,66.92,6.29,40.83,68.43,36.18,13447,70.88,33,104.66,41.2,40.79,1166,293418,54.65,18.5,ambient_high,fault
2025-05-26T15:34:14.168653,64.61,88.24,45.77,65.51,3202,82.53,-3.13,38.19,34.83,42.88,19115,3.77,16,102.02,32.04,41.81,6814,342099,65.9,6.17,fuel_low,fault
2025-05-26T15:34:14.168663,41.98,107.94,34.83,51.5,5786,81.09,18.11,30.82,98.04,32.66,7858,47.71,5,88.15,22.44,35.92,5708,42288,60.75,17.27,rpm_spike,fault
2025-05-26T15:34:14.168672,77.41,69.49,36.95,87.13,1991,48.76,20.64,63.73,114.52,15.36,6207,33.39,29,87.04,26.75,11.57,505,233086,56.54,16.65,intake_temp_high,fault
